treeID,state,b1_hm_box1,b2_hm_box1,b3_hm_box1,b4_hm_box1,b5_hm_box1,b6_hm_box1,b7_hm_box1,b8_hm_box1,b9_hm_box1,b10_hm_box,b11_hm_box,b12_hm_box,b13_hm_box,b14_hm_box,b15_hm_box,b16_hm_box,b17_hm_box,b18_hm_box,b19_hm_box,b20_hm_box,b21_hm_box,b22_hm_box,b23_hm_box,b24_hm_box,b25_hm_box,b26_hm_box,b27_hm_box,b28_hm_box,b29_hm_box,b30_hm_box,b31_hm_box,b32_hm_box,b33_hm_box,b34_hm_box,b35_hm_box,b36_hm_box,b37_hm_box
556,1,18,41,14,0.246575,0.561644,0.191781,-15.8000002,0.511111,0.38983,0.676808,-4.0055499,50,0.438596,0.194444,50.3801003,0.27442,19.0123005,3.4814799,3.92277,0.0230148,0.238653,0.30054,105.6800003,0.219551,21.5802002,3.80247,4.11415,0.0175278,0.396543,0.182485,45.1710014,0.280725,18.6420002,3.4321001,3.92277,0.0230148,0.172278
528,1,41,60,36,0.29927,0.437956,0.262774,-2.5999999,0.292308,0.188119,0.363378,-2.1315501,43,0.218274,0.246528,56.7002983,0.42782,3.7777801,1.55556,3.26142,0.0464868,0.241173,0.317901,93.0223999,0.41591,4.1728401,1.62963,3.3831301,0.0397805,0.276427,0.227045,48.2388,0.397458,3.76543,1.61728,3.2451601,0.0483158,0.141053
521,1,97,124,92,0.309904,0.396166,0.29393,11.8000002,0.209302,0.122172,0.24075,-12.2595997,59,0.135011,0.273727,69.873703,0.306193,17,3.07407,3.67237,0.0321597,0.031568,0.382523,133.7870026,0.304185,20.9505997,3.3703699,3.7177899,0.0361225,0.0245485,0.271412,68.7073975,0.298981,16.3827,3.0246899,3.6115899,0.0367322,-0.0113728
519,1,83,113,84,0.296429,0.403571,0.3,3.2,0.267857,0.153061,0.299115,-11.8225002,59,0.150127,0.326775,106.3170013,0.262365,20.1975002,3.3580201,3.8038199,0.0266728,-0.403047,0.423804,177.602005,0.276468,20.6790009,3.3703699,3.69802,0.0300259,-0.461628,0.330633,107.2030029,0.343332,20.3950996,3.16049,3.6809001,0.0309404,-0.492594
515,1,65,82,57,0.318627,0.401961,0.279412,9,0.188889,0.115646,0.22824,-2.8445499,42,0.146853,0.264082,64.357399,0.521429,2.9753101,1.2716,2.77953,0.0797135,-0.0926933,0.336806,104.8219986,0.493034,3.0617299,1.33333,2.89429,0.067825,0.0641395,0.229745,48.8347015,0.485118,3.2222199,1.37037,2.87292,0.069654,-0.103689
500,1,76,112,78,0.285714,0.421053,0.293233,-5.5999999,0.327273,0.191489,0.369432,-16.3386002,70,0.185185,0.336806,109.1880035,0.425563,4.3209901,1.65432,3.3370299,0.0470965,0.442771,0.458719,200.5140076,0.406502,5.2592602,1.82716,3.33427,0.0440482,0.317638,0.321373,102.4840012,0.461404,3.92593,1.5308599,3.2274101,0.0614236,0.328829
500,1,76,112,78,0.285714,0.421053,0.293233,-5.5999999,0.327273,0.191489,0.369432,-16.3386002,70,0.185185,0.336806,109.1880035,0.425563,4.3209901,1.65432,3.3370299,0.0470965,0.442771,0.458719,200.5140076,0.406502,5.2592602,1.82716,3.33427,0.0440482,0.317638,0.321373,102.4840012,0.461404,3.92593,1.5308599,3.2274101,0.0614236,0.328829
486,1,63,86,53,0.311881,0.425743,0.262376,2.2,0.239583,0.154362,0.30154,-8.7905502,56,0.194444,0.277199,81.8458023,0.225319,14.6049004,3.19753,3.7193301,0.0281969,-0.288597,0.375964,144.6609955,0.224888,16.0617008,3.34568,3.82201,0.0251486,-0.283017,0.257716,72.2451019,0.220049,15.4074001,3.30864,3.7170601,0.0281969,-0.338352
481,1,29,63,29,0.239669,0.520661,0.239669,-22.3999996,0.539683,0.369565,0.650312,-12.7615004,68,0.369565,0.16358,27.0459995,0.370895,5.7283902,1.92593,3.34741,0.0431337,-0.206994,0.294946,84.8079987,0.342121,7.9629598,2.23457,3.6166401,0.0330742,0.0135302,0.168017,28.7465992,0.342552,6.8024702,2.11111,3.4165101,0.0413047,-0.19317
474,1,54,76,53,0.295082,0.415301,0.289617,-0.4,0.285714,0.169231,0.329038,-3.9495499,45,0.173745,0.28125,73.7442017,0.412108,5.4074101,1.80247,3.23244,0.044353,-0.0537174,0.373071,128.3600006,0.386019,6.4444399,1.97531,3.2925301,0.0455723,-0.0222825,0.283372,74.8302002,0.367374,6.7283902,2.03704,3.3910301,0.0379515,-0.0354455
