FID_all_Fi,OBJECTID,Cover_Type,Location,FID_all__1,Id,BUFF_DIST,ORIG_FID,Fire,Seedling_p,Additional,Slope
362,364,Woody Shrub,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
366,368,Woody Shrub,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
368,370,Standing Dead,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
369,371,Woody Shrub,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
370,372,Woody Shrub,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
372,374,Woody Shrub,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
374,376,Woody Shrub,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
377,380,Woody Shrub,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
381,386,Woody Shrub,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
383,389,Woody Shrub,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
385,391,Woody Shrub,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
387,393,Woody Shrub,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
388,394,Woody Shrub,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
390,397,Woody Shrub,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
392,399,Woody Shrub,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
394,401,Woody Shrub,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
396,403,Woody Shrub,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
423,431,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
424,432,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
425,433,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
426,434,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
427,435,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
428,436,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
429,438,Deciduous,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
430,439,Deciduous,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
431,440,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
432,441,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
433,442,Deciduous,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
434,443,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
435,444,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
436,445,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
437,446,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
438,447,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
439,448,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
440,449,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
441,450,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
442,451,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
443,452,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
444,453,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
445,454,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
446,455,Evergreen,Big Elk,3,0,30,6,Big Elk,Low,"Cliffs, shrubs, mature trees",Steep
